가게 이름,업종구분,주소,URL
육일관 건대본점,"육류,고기요리",서울 광진구 아차산로31길 10 육일관,https://pcmap.place.naver.com/restaurant/37993226/review/visitor#
건대 고기굽는놈 본점,"육류,고기요리",서울 광진구 아차산로31길 8 고기굽는놈,https://pcmap.place.naver.com/restaurant/34827709/review/visitor#
구의규 구의본점,"육류,고기요리",서울 광진구 자양로18길 81 1층,https://pcmap.place.naver.com/restaurant/1539884011/review/visitor#
늘조은한우 구의직영점,"육류,고기요리","서울 광진구 아차산로 355 광진아크로텔 103, 104호",https://pcmap.place.naver.com/restaurant/1518421501/review/visitor#
최원석의돼지한판&화식한우광장점,"육류,고기요리",서울 광진구 아차산로 478,https://pcmap.place.naver.com/restaurant/20455631/review/visitor#
고육담 건대본점,샤브샤브,서울 광진구 동일로20길 60 1층,https://pcmap.place.naver.com/restaurant/1648094875/review/visitor#
솔방울,이자카야,서울 광진구 동일로22길 65 2층,https://pcmap.place.naver.com/restaurant/1501264874/review/visitor#
요비,이자카야,서울 광진구 아차산로29길 34,https://pcmap.place.naver.com/restaurant/37724979/review/visitor#
굴이짱,굴요리,서울 광진구 긴고랑로 61,https://pcmap.place.naver.com/restaurant/20943372/review/visitor#
해란양꼬치 건대본점,양꼬치,서울 광진구 동일로18길 73,https://pcmap.place.naver.com/restaurant/1879756679/review/visitor#
바다회포차,생선회,서울 광진구 자양번영로12길 5-3 1층,https://pcmap.place.naver.com/restaurant/17997398/review/visitor#
건대포항막회,생선회,서울 광진구 아차산로31길 28 1층,https://pcmap.place.naver.com/restaurant/13535493/review/visitor#
코시 건대점,"우동,소바",서울 광진구 아차산로 197 1층,https://pcmap.place.naver.com/restaurant/1868271996/review/visitor#
구구향훠궈 건대직영점,중식당,서울 광진구 동일로18길 62 1층,https://pcmap.place.naver.com/restaurant/1724227242/review/visitor#
노릇,돼지고기구이,서울 광진구 능동로36길 36 1층,https://pcmap.place.naver.com/restaurant/1184182497/review/visitor#
재즈라운지,와인,서울 광진구 능동로19길 7-6 재즈라운지 1층,https://pcmap.place.naver.com/restaurant/34203487/review/visitor#
스위트앤카츠,돈가스,서울 광진구 광나루로17길 14,https://pcmap.place.naver.com/restaurant/36481365/review/visitor#
송화산시도삭면 2호점,중식당,서울 광진구 아차산로30길 33,https://pcmap.place.naver.com/restaurant/1112754194/review/visitor#
장미술상 건대점,술집,서울 광진구 아차산로31길 3-6 1~2층 장미술상,https://pcmap.place.naver.com/restaurant/1427727828/review/visitor#
연옥양꼬치,양꼬치,서울 광진구 동일로18길 42 연옥양꼬치,https://pcmap.place.naver.com/restaurant/599370022/review/visitor#
daughter,브런치,서울 광진구 아차산로31길 40 1층,https://pcmap.place.naver.com/restaurant/1256580169/review/visitor#
민지슈퍼 건대본점,요리주점,서울 광진구 아차산로31길 37 1층,https://pcmap.place.naver.com/restaurant/1235590176/review/visitor#
니뽕내뽕 건대본점,중식당,서울 광진구 동일로20길 60 연일빌딩,https://pcmap.place.naver.com/restaurant/19713482/review/visitor#
간장삼겹살 동방생고기 건대점,"육류,고기요리",서울 광진구 아차산로31길 28 2층,https://pcmap.place.naver.com/restaurant/1817069607/review/visitor#
릴리베이커리,베이커리,서울 광진구 능동로13길 21 1층 릴리베이커리(김밥천국바로옆)-지하X,https://pcmap.place.naver.com/restaurant/1126127714/review/visitor#
신토불이 떡볶이 본점,떡볶이,서울 광진구 자양로43길 42,https://pcmap.place.naver.com/restaurant/18818884/review/visitor#
순곱이네 건대점,"찌개,전골",서울 광진구 동일로24길 93 1층,https://pcmap.place.naver.com/restaurant/37765999/review/visitor#
브런치 카페 고은별 샌드위치,브런치카페,서울 광진구 자양로 177 1층,https://pcmap.place.naver.com/restaurant/93245461/review/visitor#
육회한연어 건대점,요리주점,서울 광진구 동일로22길 42,https://pcmap.place.naver.com/restaurant/37405397/review/visitor#
산재우,술집,서울 광진구 면목로 77 1층,https://pcmap.place.naver.com/restaurant/1681155572/review/visitor#
칙바이칙 건대점,햄버거,서울 광진구 능동로 137 1층,https://pcmap.place.naver.com/restaurant/1001955310/review/visitor#
힘찬갯벌낙지,낙지요리,서울 광진구 능동로37길 6 1층 힘찬갯벌낙지,https://pcmap.place.naver.com/restaurant/37388553/review/visitor#
한해,생선회,서울 광진구 광나루로 416 2층,https://pcmap.place.naver.com/restaurant/1998354901/review/visitor#
비스타 워커힐 서울 명월관,"육류,고기요리",서울 광진구 워커힐로 177 워커힐 호텔앤리조트,https://pcmap.place.naver.com/restaurant/11717671/review/visitor#
독도수산,생선회,서울 광진구 뚝섬로23길 48,https://pcmap.place.naver.com/restaurant/19777687/review/visitor#
우물집 구의점,한식,"서울 광진구 아차산로49길 21 1층, 2층",https://pcmap.place.naver.com/restaurant/1048634058/review/visitor#
스위츠포레스트,"카페,디저트",서울 광진구 면목로 86 1층 101호,https://pcmap.place.naver.com/restaurant/1534273872/review/visitor#
하남돼지집 세종대점,돼지고기구이,서울 광진구 능동로19길 21-2,https://pcmap.place.naver.com/restaurant/37420740/review/visitor#
윤숲,"카페,디저트","서울 광진구 긴고랑로20길 51 1층 101호(중곡동, 글램하우스 )",https://pcmap.place.naver.com/restaurant/1500041605/review/visitor#
누이테이블,양식,서울 광진구 아차산로26길 19 1층,https://pcmap.place.naver.com/restaurant/37186332/review/visitor#
샤오롱바오,중식당,서울 광진구 자양번영로 20 1층,https://pcmap.place.naver.com/restaurant/1906115036/review/visitor#
중경식객 건대점,중식당,서울 광진구 동일로20길 109,https://pcmap.place.naver.com/restaurant/1802587243/review/visitor#
드로잉레시피,양식,서울 광진구 뚝섬로33길 45 드로잉레시피,https://pcmap.place.naver.com/restaurant/1095584677/review/visitor#
당산오돌 구의역점,"육류,고기요리",서울 광진구 자양로18길 12 당산오돌 구의역점,https://pcmap.place.naver.com/restaurant/1912373073/review/visitor#
방이옥 군자역점,"육류,고기요리",서울 광진구 능동로36길 9 1층,https://pcmap.place.naver.com/restaurant/1148995293/review/visitor#
화기애애 본점,"육류,고기요리",서울 광진구 아차산로31길 16,https://pcmap.place.naver.com/restaurant/19866308/review/visitor#
화양양꼬치 구의점,양꼬치,서울 광진구 아차산로51길 39 1층,https://pcmap.place.naver.com/restaurant/1987792475/review/visitor#
카페 그자체 베이커리,베이커리,서울 광진구 능동로13길 65 2층,https://pcmap.place.naver.com/restaurant/1285069493/review/visitor#
감성타코 건대점,"멕시코,남미음식",서울 광진구 능동로13길 39 2층 감성타코,https://pcmap.place.naver.com/restaurant/1377497528/review/visitor#
화양양꼬치 건대점,양꼬치,서울 광진구 아차산로29길 44 화양양꼬치,https://pcmap.place.naver.com/restaurant/19372325/review/visitor#
심야식당 후타리,이자카야,서울 광진구 동일로22길 32,https://pcmap.place.naver.com/restaurant/1282755585/review/visitor#
제면소의 하루,"우동,소바",서울 광진구 능동로13길 69 1층,https://pcmap.place.naver.com/restaurant/1153285229/review/visitor#
건대술집 심술집 건대입구본점,요리주점,서울 광진구 동일로24길 99,https://pcmap.place.naver.com/restaurant/1105222552/review/visitor#
오코노미야키식당하나,일식당,서울 광진구 능동로13길 111 1층,https://pcmap.place.naver.com/restaurant/1788087862/review/visitor#
언더다이닝 건대본점,양식,서울 광진구 동일로20길 64 지하1층,https://pcmap.place.naver.com/restaurant/1167900002/review/visitor#
고베규카츠 건대점,돈가스,서울 광진구 아차산로33길 64,https://pcmap.place.naver.com/restaurant/1183785127/review/visitor#
LAB41,요리주점,서울 광진구 능동로 300 2층,https://pcmap.place.naver.com/restaurant/552724285/review/visitor#
하루 건대점,이자카야,서울 광진구 동일로22길 59 2층 하루,https://pcmap.place.naver.com/restaurant/1118763038/review/visitor#
영미오리탕,오리요리,서울 광진구 동일로60길 53,https://pcmap.place.naver.com/restaurant/11687205/review/visitor#
투또톤토,"카페,디저트",서울 광진구 능동로 125 1층 투또톤토,https://pcmap.place.naver.com/restaurant/1043191069/review/visitor#
그랜드 워커힐 서울 르 파사쥬,베이커리,서울 광진구 워커힐로 177 그랜드 워커힐 서울 1층,https://pcmap.place.naver.com/restaurant/19878173/review/visitor#
브네,와인,서울 광진구 군자로 70 106호 VENEZ 브네,https://pcmap.place.naver.com/restaurant/1580083114/review/visitor#
토리광,이자카야,서울 광진구 동일로22길 33 1층,https://pcmap.place.naver.com/restaurant/57176326/review/visitor#
김창훈포차 건대본점,요리주점,서울 광진구 능동로13길 65 1층 김창훈포차 건대본점,https://pcmap.place.naver.com/restaurant/1422535168/review/visitor#
이토,이자카야,서울 광진구 아차산로33길 22 지하1층,https://pcmap.place.naver.com/restaurant/1184175124/review/visitor#
카페 아르무아,"카페,디저트",서울 광진구 동일로22길 117-27,https://pcmap.place.naver.com/restaurant/1872641035/review/visitor#
고공 구의점,"육류,고기요리",서울 광진구 자양로18길 37 1층,https://pcmap.place.naver.com/restaurant/1046666541/review/visitor#
범가,중식당,서울 광진구 광장로 58-1 1층,https://pcmap.place.naver.com/restaurant/36893222/review/visitor#
우마이도 건대점,일본식라면,서울 광진구 능동로 135-2,https://pcmap.place.naver.com/restaurant/12764501/review/visitor#
건대 숯불부자곱창,"곱창,막창,양",서울 광진구 동일로24길 102,https://pcmap.place.naver.com/restaurant/1261821265/review/visitor#
돕감자탕전문점,감자탕,서울 광진구 아차산로31길 9,https://pcmap.place.naver.com/restaurant/11836177/review/visitor#
동래정 구의역점,돼지고기구이,서울 광진구 아차산로51길 49 1층 동래정 구의역점,https://pcmap.place.naver.com/restaurant/1781760595/review/visitor#
만원수산 건대점,생선회,서울 광진구 아차산로31길 27 101호 1층 만원수산,https://pcmap.place.naver.com/restaurant/1073131380/review/visitor#
캑터스493,술집,서울 광진구 면목로 24 1층,https://pcmap.place.naver.com/restaurant/1878927954/review/visitor#
고기처럼,"육류,고기요리",서울 광진구 긴고랑로 57,https://pcmap.place.naver.com/restaurant/36950188/review/visitor#
광장동가온,한식,서울 광진구 아차산로78길 75 106호,https://pcmap.place.naver.com/restaurant/37525029/review/visitor#
소문난만두,"칼국수,만두",서울 광진구 자양로13나길 5,https://pcmap.place.naver.com/restaurant/1248096062/review/visitor#
안다미로 팬케이크 건대,"카페,디저트",서울 광진구 아차산로25길 8 2층 안다미로 팬케이크,https://pcmap.place.naver.com/restaurant/1256627119/review/visitor#
고공 자양점,"육류,고기요리",서울 광진구 뚝섬로 620-1 1층,https://pcmap.place.naver.com/restaurant/1554405080/review/visitor#
이찌방이야기 본점,이자카야,서울 광진구 동일로22길 57 1층,https://pcmap.place.naver.com/restaurant/1029915931/review/visitor#
우리소황소곱창 건대,"곱창,막창,양",서울 광진구 동일로22길 17 1층,https://pcmap.place.naver.com/restaurant/1820593666/review/visitor#
명봉양꼬치 건대본점,중식당,서울 광진구 뚝섬로31길 59,https://pcmap.place.naver.com/restaurant/13153336/review/visitor#
소랑도,생선회,서울 광진구 천호대로111길 41 1층 소랑도,https://pcmap.place.naver.com/restaurant/1738768651/review/visitor#
서교주담 건대,요리주점,서울 광진구 능동로13길 23 1층,https://pcmap.place.naver.com/restaurant/1020465011/review/visitor#
