가게 이름,업종구분,주소,URL
엄마마늘보쌈,"족발,보쌈",서울 노원구 석계로 18 엄마마늘보쌈,https://pcmap.place.naver.com/restaurant/1433804135/review/visitor#
시즌,"카페,디저트",서울 노원구 상계로3길 38-2 2층,https://pcmap.place.naver.com/restaurant/1792785194/review/visitor#
설화,중식당,서울 노원구 상계로5길 12 동양상가 2층 설화중화식당 (202-1호),https://pcmap.place.naver.com/restaurant/1840539495/review/visitor#
어글리스토브 노원역점,브런치,서울 노원구 노해로81길 12-21 3층,https://pcmap.place.naver.com/restaurant/37249653/review/visitor#
경복식당,"백반,가정식",서울 노원구 공릉로39길 10 대아아파트 상가 경복식당,https://pcmap.place.naver.com/restaurant/1797596093/review/visitor#
하남돼지집 중계은행점,돼지고기구이,서울 노원구 한글비석로 271 태경빌딩 1층,https://pcmap.place.naver.com/restaurant/35021469/review/visitor#
강경불고기 노원하계점,"육류,고기요리",서울 노원구 한글비석로 127 1층,https://pcmap.place.naver.com/restaurant/1147025647/review/visitor#
스시이안앤 노원역점,"초밥,롤",서울 노원구 노해로81길 12-4 3층 1호,https://pcmap.place.naver.com/restaurant/1516549336/review/visitor#
와와쪽갈비 노원점,돼지고기구이,서울 노원구 상계로 86 1층,https://pcmap.place.naver.com/restaurant/1997309352/review/visitor#
블루마일스커피로스터즈,카페,서울 노원구 동일로190길 65 2층,https://pcmap.place.naver.com/restaurant/1505598385/review/visitor#
니뽕내뽕 노원역점,중식당,서울 노원구 상계로 76 2층,https://pcmap.place.naver.com/restaurant/35928059/review/visitor#
하남돼지집 노원하계점,돼지고기구이,서울 노원구 한글비석로1길 51,https://pcmap.place.naver.com/restaurant/38724497/review/visitor#
노원조개구이무한리필,조개요리,서울 노원구 상계로1길 38-11 201호,https://pcmap.place.naver.com/restaurant/37049969/review/visitor#
경성초밥,"초밥,롤",서울 노원구 공릉로 119-5 1층 좌측 경성초밥,https://pcmap.place.naver.com/restaurant/1453394676/review/visitor#
핏짜굽는언니,피자,서울 노원구 동일로198길 58,https://pcmap.place.naver.com/restaurant/31032820/review/visitor#
파스타한끼 노원본점,이탈리아음식,서울 노원구 상계로5길 19 대광빌딩 1층 파스타한끼노원본점,https://pcmap.place.naver.com/restaurant/1225845295/review/visitor#
쿠방플러스,"카페,디저트",서울 노원구 노원로26길 39 덕산빌딩 1층,https://pcmap.place.naver.com/restaurant/1345715884/review/visitor#
팔각도 상계역점,닭갈비,서울 노원구 한글비석로20길 25 1층,https://pcmap.place.naver.com/restaurant/1904873276/review/visitor#
사랑회수산,생선회,서울 노원구 상계로 104 이노리빙텔,https://pcmap.place.naver.com/restaurant/36428817/review/visitor#
털보고된이 본점,생선구이,서울 노원구 노해로81길 22-22 1층,https://pcmap.place.naver.com/restaurant/701754899/review/visitor#
moodshare,"카페,디저트",서울 노원구 공릉로 119-23 더하우스 1층,https://pcmap.place.naver.com/restaurant/1212622367/review/visitor#
