가게 이름,업종구분,주소,URL
잘빠진메밀 서순라길점,막국수,서울 종로구 율곡로8길 73 잘빠진메밀 서순라길점,https://pcmap.place.naver.com/restaurant/800663301/review/visitor#
깡통만두,만두,서울 종로구 북촌로2길 5-6 1층,https://pcmap.place.naver.com/restaurant/11863403/review/visitor#
두두,한식,서울 종로구 동숭길 63 2층,https://pcmap.place.naver.com/restaurant/31592246/review/visitor#
우아라 광화문점,소고기구이,서울 종로구 종로1길 50 더케이트윈타워 지하1층 우아라 광화문,https://pcmap.place.naver.com/restaurant/1980688980/review/visitor#
모던샤브하우스 광화문D타워점,샤브샤브,서울 종로구 종로3길 17 D타워 리플레이스 광화문 5층,https://pcmap.place.naver.com/restaurant/1838141891/review/visitor#
간판없는가게,이탈리아음식,서울 종로구 돈화문로11다길 36 1층 간판없는가게,https://pcmap.place.naver.com/restaurant/268542013/review/visitor#
숙달돼지 종각점,돼지고기구이,서울 종로구 종로8길 15,https://pcmap.place.naver.com/restaurant/1567345635/review/visitor#
대련집,"칼국수,만두",서울 종로구 종로16길 37,https://pcmap.place.naver.com/restaurant/11850242/review/visitor#
대찬횟집,생선회,서울 종로구 우정국로2길 10 지하 1층,https://pcmap.place.naver.com/restaurant/37842294/review/visitor#
제주바다 서울본점,생선회,서울 종로구 종로35길 18 1층,https://pcmap.place.naver.com/restaurant/38648333/review/visitor#
노티드 안국,카페,서울 종로구 북촌로 6-3 1층,https://pcmap.place.naver.com/restaurant/1229793109/review/visitor#
진옥화할매원조닭한마리,닭요리,서울 종로구 종로40가길 18,https://pcmap.place.naver.com/restaurant/11619295/review/visitor#
온지음 레스토랑,한식,서울 종로구 효자로 49 온지음 4층,https://pcmap.place.naver.com/restaurant/1302703569/review/visitor#
서울서둘째로잘하는집,차,서울 종로구 삼청로 122-1,https://pcmap.place.naver.com/restaurant/11569682/review/visitor#
황생가칼국수,"칼국수,만두",서울 종로구 북촌로5길 78,https://pcmap.place.naver.com/restaurant/11679429/review/visitor#
익선잡방,브런치,서울 종로구 수표로28길 17-21 익선잡방,https://pcmap.place.naver.com/restaurant/1767890367/review/visitor#
하얀고래 종각본점,한식,"서울 종로구 종로 65 1층 109,110,111호",https://pcmap.place.naver.com/restaurant/1325778307/review/visitor#
박가네 빈대떡,"전,빈대떡",서울 종로구 종로32길 7,https://pcmap.place.naver.com/restaurant/13493819/review/visitor#
자하손만두,만두,서울 종로구 백석동길 12,https://pcmap.place.naver.com/restaurant/11688084/review/visitor#
이문설렁탕,"곰탕,설렁탕",서울 종로구 우정국로 38-13,https://pcmap.place.naver.com/restaurant/11711983/review/visitor#
육랩 종로점,"육류,고기요리",서울 종로구 우정국로2길 42 3층 육랩,https://pcmap.place.naver.com/restaurant/1450644151/review/visitor#
부촌육회 본점,"육류,고기요리",서울 종로구 종로 200-12,https://pcmap.place.naver.com/restaurant/36428555/review/visitor#
혜화양육관,양꼬치,서울 종로구 대명1길 23,https://pcmap.place.naver.com/restaurant/32407273/review/visitor#
스태픽스,"카페,디저트",서울 종로구 사직로9길 22 102호,https://pcmap.place.naver.com/restaurant/1142689405/review/visitor#
동화,요리주점,서울 종로구 대명1길 16-6 2층 동화,https://pcmap.place.naver.com/restaurant/1669566053/review/visitor#
몽중헌 안국점,중식당,서울 종로구 북촌로 31-22,https://pcmap.place.naver.com/restaurant/13399101/review/visitor#
오스테리아소띠,이탈리아음식,서울 종로구 자하문로10길 10-19,https://pcmap.place.naver.com/restaurant/1574515002/review/visitor#
청진옥,해장국,서울 종로구 종로3길 32,https://pcmap.place.naver.com/restaurant/13544101/review/visitor#
반디 서순라길,요리주점,서울 종로구 율곡로8길 45 1층,https://pcmap.place.naver.com/restaurant/1051747215/review/visitor#
스파게티가있는풍경 광화문점,"스파게티,파스타전문",서울 종로구 새문안로 103-1 2층,https://pcmap.place.naver.com/restaurant/31420349/review/visitor#
육미안 혜화점,소고기구이,서울 종로구 창경궁로 246-4 1층 육미안,https://pcmap.place.naver.com/restaurant/1718133788/review/visitor#
삼겹살전문점대통령 본점,"육류,고기요리",서울 종로구 대학로14길 12-1,https://pcmap.place.naver.com/restaurant/31403119/review/visitor#
서촌계단집,"해물,생선요리",서울 종로구 자하문로1길 15,https://pcmap.place.naver.com/restaurant/31694842/review/visitor#
빠리가옥,프랑스음식,서울 종로구 수표로28길 33-4,https://pcmap.place.naver.com/restaurant/310755957/review/visitor#
해피니스 대학로점,중식당,서울 종로구 대학로11길 40 세훈빌딩 1층,https://pcmap.place.naver.com/restaurant/1064882776/review/visitor#
도마 유즈라멘,한식,서울 종로구 북촌로2길 14 유즈라멘,https://pcmap.place.naver.com/restaurant/1557353265/review/visitor#
도량,중식당,"서울 종로구 자하문로6길 6 2, 3층",https://pcmap.place.naver.com/restaurant/1817207066/review/visitor#
남대문막내횟집 광교점,생선회,서울 종로구 우정국로 4-1,https://pcmap.place.naver.com/restaurant/31575816/review/visitor#
H라운지,브런치,서울 종로구 자하문로4길 21-9,https://pcmap.place.naver.com/restaurant/1171532481/review/visitor#
토리고야 종로본점,이자카야,서울 종로구 우정국로2길 36,https://pcmap.place.naver.com/restaurant/37770443/review/visitor#
계림,닭볶음탕,서울 종로구 돈화문로4길 39,https://pcmap.place.naver.com/restaurant/33068253/review/visitor#
덕후선생 광화문디타워점,중식당,서울 종로구 종로3길 17 D타워 4층,https://pcmap.place.naver.com/restaurant/1175095587/review/visitor#
동백양과점 익선점,"카페,디저트",서울 종로구 수표로28길 17-24,https://pcmap.place.naver.com/restaurant/1387480043/review/visitor#
오봉집 종로점,한식,서울 종로구 종로8길 20 1층,https://pcmap.place.naver.com/restaurant/1558521785/review/visitor#
강가네 떡볶이,떡볶이,서울 종로구 종로32길 2 아케이트 101호,https://pcmap.place.naver.com/restaurant/1991674359/review/visitor#
동묘집,한식,서울 종로구 종로52길 43-9 1층,https://pcmap.place.naver.com/restaurant/1707224049/review/visitor#
더숲 초소책방,카페,서울 종로구 인왕산로 172,https://pcmap.place.naver.com/restaurant/1602048207/review/visitor#
오레노카츠 대학로점,돈가스,서울 종로구 대학로 128 1층,https://pcmap.place.naver.com/restaurant/1094922435/review/visitor#
자미더홍,요리주점,서울 종로구 동숭길 129 자미더홍,https://pcmap.place.naver.com/restaurant/1834512918/review/visitor#
유자유김치떡볶이 대학로점,떡볶이,서울 종로구 대명길 37 2층,https://pcmap.place.naver.com/restaurant/1106282746/review/visitor#
호호식당 익선,일식당,서울 종로구 익선동 170-1,https://pcmap.place.naver.com/restaurant/1765213815/review/visitor#
파스타마켓,"스파게티,파스타전문",서울 종로구 대학로11길 9-5 1층 파스타마켓,https://pcmap.place.naver.com/restaurant/1121062750/review/visitor#
스시소라 광화문점,일식당,서울 종로구 종로 19 르메이에르 지하1층 116호,https://pcmap.place.naver.com/restaurant/1043397620/review/visitor#
창창,중식당,서울 종로구 창신12길 37 창창,https://pcmap.place.naver.com/restaurant/1903257210/review/visitor#
서양집 혜화대학로본점,"스파게티,파스타전문",서울 종로구 대학로9길 23-2 2층,https://pcmap.place.naver.com/restaurant/717158780/review/visitor#
학림,카페,서울 종로구 대학로 119 2층 학림카페,https://pcmap.place.naver.com/restaurant/11716359/review/visitor#
엄용백 돼지국밥,국밥,서울 종로구 인사동3길 20,https://pcmap.place.naver.com/restaurant/1473360805/review/visitor#
아키비스트,"카페,디저트",서울 종로구 효자로13길 52 1층 아키비스트 서촌,https://pcmap.place.naver.com/restaurant/1783153281/review/visitor#
롤라곱창,한식,서울 종로구 북촌로2길 4 1층,https://pcmap.place.naver.com/restaurant/1470187466/review/visitor#
한양중식 종로점,중식당,서울 종로구 종로 51 종로타워 지하 2층 한양중식,https://pcmap.place.naver.com/restaurant/1992882869/review/visitor#
오레노라멘 인사점,일본식라면,서울 종로구 율곡로 49-4 1층,https://pcmap.place.naver.com/restaurant/1133826226/review/visitor#
소문난마산아구,"아귀찜,해물찜",서울 종로구 삼일대로 434,https://pcmap.place.naver.com/restaurant/37852829/review/visitor#
호호식당 대학로,일식당,서울 종로구 대학로9길 35,https://pcmap.place.naver.com/restaurant/85806567/review/visitor#
혜화칼국수,국수,서울 종로구 창경궁로35길 13,https://pcmap.place.naver.com/restaurant/11678822/review/visitor#
정돈 대학로본점,돈가스,서울 종로구 대학로9길 12 지층,https://pcmap.place.naver.com/restaurant/37126807/review/visitor#
아티장 크로아상,베이커리,서울 종로구 계동길 51,https://pcmap.place.naver.com/restaurant/1363067761/review/visitor#
신안촌 본점,한정식,서울 종로구 사직로12길 8,https://pcmap.place.naver.com/restaurant/12931066/review/visitor#
뼈탄집,"육류,고기요리",서울 종로구 자하문로1길 13,https://pcmap.place.naver.com/restaurant/1488058730/review/visitor#
봉탁항아리바비큐 불쭈꾸미 삼청동점,"육류,고기요리",서울 종로구 삼청로 104-3,https://pcmap.place.naver.com/restaurant/12854417/review/visitor#
익선정육,"육류,고기요리",서울 종로구 돈화문로11다길 9 1층,https://pcmap.place.naver.com/restaurant/1574607459/review/visitor#
이자카야나무 종각점,이자카야,"서울 종로구 종로10길 16 2, 3층",https://pcmap.place.naver.com/restaurant/1193914144/review/visitor#
대청마루,"육류,고기요리",서울 종로구 인사동4길 17,https://pcmap.place.naver.com/restaurant/13016332/review/visitor#
서촌스코프,"카페,디저트",서울 종로구 필운대로5가길 31 1층 SCOFF,https://pcmap.place.naver.com/restaurant/462568628/review/visitor#
길가온,생선회,서울 종로구 창경궁로16길 6-7 1층,https://pcmap.place.naver.com/restaurant/31454202/review/visitor#
넛츠비어 종각직영점,"맥주,호프",서울 종로구 종로12길 10 지상1층,https://pcmap.place.naver.com/restaurant/1746402603/review/visitor#
JW메리어트동대문스퀘어서울 서울 베이킹 컴퍼니,베이커리,서울 종로구 청계천로 279,https://pcmap.place.naver.com/restaurant/37342028/review/visitor#
고가빈커리하우스,패밀리레스토랑,서울 종로구 경희궁2길 7 3층,https://pcmap.place.naver.com/restaurant/329955337/review/visitor#
최부자보쌈,"족발,보쌈",서울 종로구 수표로20길 22,https://pcmap.place.naver.com/restaurant/20735840/review/visitor#
해운대달맞이빵,베이커리,"서울 종로구 청계천로 59 1층, 2층",https://pcmap.place.naver.com/restaurant/1489824422/review/visitor#
성경만두요리전문점 종로점,"칼국수,만두",서울 종로구 수표로 88,https://pcmap.place.naver.com/restaurant/1336373058/review/visitor#
최대감네,한식,서울 종로구 인사동8길 12-3,https://pcmap.place.naver.com/restaurant/19882235/review/visitor#
제주바당,생선회,"서울 종로구 종로14길 16 2,3층",https://pcmap.place.naver.com/restaurant/1465102756/review/visitor#
청계도깨비 대학로 본점,"육류,고기요리",서울 종로구 동숭길 98 청계도깨비 대학로 본점,https://pcmap.place.naver.com/restaurant/1351207107/review/visitor#
대성집,"곰탕,설렁탕",서울 종로구 사직로 5,https://pcmap.place.naver.com/restaurant/13517178/review/visitor#
헤이커피,"카페,디저트",서울 종로구 대학로11길 19-4 헤이커피,https://pcmap.place.naver.com/restaurant/1119516180/review/visitor#
스미스가좋아하는한옥,이탈리아음식,서울 종로구 삼청로 22-7,https://pcmap.place.naver.com/restaurant/20514821/review/visitor#
찬양집,"칼국수,만두",서울 종로구 돈화문로11다길 5,https://pcmap.place.naver.com/restaurant/11717523/review/visitor#
초이다이닝 광화문점,일식당,서울 종로구 종로 19 2층 216호,https://pcmap.place.naver.com/restaurant/1845118511/review/visitor#
토속촌 삼계탕,"백숙,삼계탕",서울 종로구 자하문로5길 5 토속촌,https://pcmap.place.naver.com/restaurant/35597924/review/visitor#
계열사,"치킨,닭강정",서울 종로구 백석동길 7,https://pcmap.place.naver.com/restaurant/13488297/review/visitor#
도마 인사동점,"백반,가정식",서울 종로구 인사동8길 6-1 1층 도마,https://pcmap.place.naver.com/restaurant/494627193/review/visitor#
진중 우육면관 광화문,아시아음식,서울 종로구 종로7길 29-14,https://pcmap.place.naver.com/restaurant/1349236740/review/visitor#
순대실록 대학로본점,"순대,순댓국",서울 종로구 동숭길 127 우성빌딩,https://pcmap.place.naver.com/restaurant/20148711/review/visitor#
코야코,한식,서울 종로구 동숭길 68 1층 코야코,https://pcmap.place.naver.com/restaurant/31202565/review/visitor#
도토리브라더스,일식당,서울 종로구 경희궁길 41 1층 도토리브라더스,https://pcmap.place.naver.com/restaurant/1677615804/review/visitor#
샤브스톤 종로직영점,샤브샤브,서울 종로구 삼일대로19길 24 2층,https://pcmap.place.naver.com/restaurant/1855680106/review/visitor#
이띵룸,"카페,디저트",서울 종로구 창경궁로 242 3층,https://pcmap.place.naver.com/restaurant/1507844067/review/visitor#
초이다이닝 익선점,일식당,서울 종로구 수표로28길 15 1층,https://pcmap.place.naver.com/restaurant/1826852727/review/visitor#
부암동스코프,베이커리,서울 종로구 창의문로 149 1층,https://pcmap.place.naver.com/restaurant/37844910/review/visitor#
이태리재,이탈리아음식,서울 종로구 율곡로1길 74-9,https://pcmap.place.naver.com/restaurant/37741900/review/visitor#
한옥달 레스토랑,"스파게티,파스타전문",서울 종로구 자하문로1가길 9,https://pcmap.place.naver.com/restaurant/1934318307/review/visitor#
칸다소바 경복궁점,일본식라면,서울 종로구 자하문로7길 5 1층,https://pcmap.place.naver.com/restaurant/1920065620/review/visitor#
