가게 이름,업종구분,주소,URL
호우정,"육류,고기요리",서울 영등포구 여의대방로65길 6 센터빌딩 1층 101호,https://pcmap.place.naver.com/restaurant/1018272804/review/visitor#
러스트 베이커리,베이커리,서울 영등포구 경인로79길 15 러스트베이커리,https://pcmap.place.naver.com/restaurant/1580770357/review/visitor#
잠수교집 문래 직영점,돼지고기구이,서울 영등포구 도림로 428-1 2층,https://pcmap.place.naver.com/restaurant/1510760014/review/visitor#
이태원천상 서여의도점,이자카야,서울 영등포구 국회대로68길 17 해운빌딩 지하1층,https://pcmap.place.naver.com/restaurant/21301748/review/visitor#
을지깐깐 타임스퀘어점,베트남음식,서울 영등포구 영중로 15 지상4층 408호,https://pcmap.place.naver.com/restaurant/1776066256/review/visitor#
워킹온더클라우드,양식,서울 영등포구 63로 50 한화생명빌딩 59층,https://pcmap.place.naver.com/restaurant/11605244/review/visitor#
제주항구,"해물,생선요리",서울 영등포구 국제금융로6길 33 여의도백화점 7층,https://pcmap.place.naver.com/restaurant/37793180/review/visitor#
가양칼국수버섯매운탕,한식,서울 영등포구 국제금융로 78 홍우빌딩 지하 1층,https://pcmap.place.naver.com/restaurant/11624237/review/visitor#
군산오징어 당산역점,오징어요리,"서울 영등포구 양평로 51 1,2층",https://pcmap.place.naver.com/restaurant/1421949177/review/visitor#
유방녕 더현대서울점,중식당,서울 영등포구 여의대로 108 더현대서울 B1F,https://pcmap.place.naver.com/restaurant/1478054297/review/visitor#
하이디라오 영등포지점,중식당,서울 영등포구 경인로 870 2층,https://pcmap.place.naver.com/restaurant/1467350015/review/visitor#
히바린 타임스퀘어점,일식당,서울 영등포구 영중로 15 타임스퀘어 지하1층 푸드스퀘어 히바린,https://pcmap.place.naver.com/restaurant/1254397473/review/visitor#
은민홍,생선회,서울 영등포구 국제금융로6길 17 부국증권 지하1층,https://pcmap.place.naver.com/restaurant/1448800962/review/visitor#
이자카야나무 여의도점,이자카야,서울 영등포구 여의대방로67길 18,https://pcmap.place.naver.com/restaurant/1417042543/review/visitor#
쿠시인 본점,이자카야,서울 영등포구 영중로14길 44-1 1층,https://pcmap.place.naver.com/restaurant/1170122861/review/visitor#
롱타임노씨 당산점,"맥주,호프",서울 영등포구 당산로45길 13 2층,https://pcmap.place.naver.com/restaurant/1922801497/review/visitor#
브라더매운갈비찜 문래점,"육류,고기요리",서울 영등포구 선유로 33 문래대림아파트 상가 101호 브라더매운갈비찜,https://pcmap.place.naver.com/restaurant/20272513/review/visitor#
호앙비엣 문래점,베트남음식,서울 영등포구 도림로139길 3-1 1층,https://pcmap.place.naver.com/restaurant/1962537720/review/visitor#
타마,덮밥,서울 영등포구 은행로 30 1층,https://pcmap.place.naver.com/restaurant/20083721/review/visitor#
고부대 타임스퀘어점,한식,서울 영등포구 영중로 15 타임스퀘어 B1F,https://pcmap.place.naver.com/restaurant/1983690869/review/visitor#
매드포갈릭 영등포타임스퀘어점,이탈리아음식,서울 영등포구 영중로 15 타임스퀘어 4F 402,https://pcmap.place.naver.com/restaurant/18563254/review/visitor#
연탄불,"육류,고기요리",서울 영등포구 양산로17길 17 연탄불,https://pcmap.place.naver.com/restaurant/19002496/review/visitor#
만달보쌈,"족발,보쌈",서울 영등포구 양평로14길 12 2층 만달보쌈,https://pcmap.place.naver.com/restaurant/1603814929/review/visitor#
사카바 단단 여의도점,이자카야,서울 영등포구 국제금융로8길 2 지하1층 사카바 단단,https://pcmap.place.naver.com/restaurant/1291488084/review/visitor#
오복수산 여의도점,일식당,서울 영등포구 국제금융로2길 17 씨티플라자 3층,https://pcmap.place.naver.com/restaurant/1133140506/review/visitor#
아카이테판,일식당,서울 영등포구 도림로125길 34 1층 아카이테판,https://pcmap.place.naver.com/restaurant/1438728413/review/visitor#
을지다락 여의도,양식,서울 영등포구 여의나루로 50 지하1층 11호,https://pcmap.place.naver.com/restaurant/1426989264/review/visitor#
