가게 이름,업종구분,주소,URL
구룡포 계절 회집,생선회,서울 성북구 고려대로7길 110,https://pcmap.place.naver.com/restaurant/11671960/review/visitor#
성북동빵공장,베이커리,서울 성북구 대사관로 40 B동,https://pcmap.place.naver.com/restaurant/63234658/review/visitor#
밀양손칼국수,"칼국수,만두",서울 성북구 동소문로26길 13,https://pcmap.place.naver.com/restaurant/32093907/review/visitor#
유영,이자카야,서울 성북구 고려대로5길 89 1층,https://pcmap.place.naver.com/restaurant/1955894992/review/visitor#
비나케이크,케이크전문,서울 성북구 보문로30길 12,https://pcmap.place.naver.com/restaurant/35726801/review/visitor#
봄담아 하월곡점,샤브샤브,"서울 성북구 종암로 167 107-1호, 107-2호, 107-3호, 107-4호",https://pcmap.place.naver.com/restaurant/1240013333/review/visitor#
무르무르드구스토,양식,서울 성북구 고려대로 102-2 4층,https://pcmap.place.naver.com/restaurant/36733702/review/visitor#
이공김밥 안암본점,김밥,서울 성북구 안암로 61-6 1층 이공김밥,https://pcmap.place.naver.com/restaurant/1662373934/review/visitor#
문화식당,요리주점,서울 성북구 보문로30나길 37 지하1층,https://pcmap.place.naver.com/restaurant/34582217/review/visitor#
고대 어시장,요리주점,서울 성북구 고려대로24길 44 2층,https://pcmap.place.naver.com/restaurant/1027909046/review/visitor#
운치,양식,서울 성북구 고려대로7길 48 1층 Wnch,https://pcmap.place.naver.com/restaurant/1456514659/review/visitor#
성북동누룽지백숙,한식,서울 성북구 성북로31길 9,https://pcmap.place.naver.com/restaurant/11727585/review/visitor#
긴자료코 성신여대점,돈가스,서울 성북구 보문로34가길 5 1층,https://pcmap.place.naver.com/restaurant/1860762877/review/visitor#
밥짓고티우림,한정식,서울 성북구 성북로2길 15,https://pcmap.place.naver.com/restaurant/33758698/review/visitor#
부산꼼장어,"해물,생선요리",서울 성북구 종암로23길 10,https://pcmap.place.naver.com/restaurant/20080805/review/visitor#
샛길무드 성신여대점,양식,서울 성북구 동소문로23길 8-15 1층,https://pcmap.place.naver.com/restaurant/1863199587/review/visitor#
한원,중식당,서울 성북구 성북로5길 12 102호,https://pcmap.place.naver.com/restaurant/1622487560/review/visitor#
올쓰,술집,서울 성북구 보문로34길 51 3층 올쓰,https://pcmap.place.naver.com/restaurant/1238291415/review/visitor#
성술,술집,서울 성북구 보문로32길 49,https://pcmap.place.naver.com/restaurant/1120669423/review/visitor#
하남돼지집 정릉점,돼지고기구이,서울 성북구 정릉로 250 정릉빌딩1층 하남돼지집정릉점,https://pcmap.place.naver.com/restaurant/38704273/review/visitor#
타코아리 타코야끼 성신여대점,일식당,서울 성북구 보문로34길 61 1층,https://pcmap.place.naver.com/restaurant/1548084254/review/visitor#
숙수도가,"육류,고기요리",서울 성북구 동소문로17길 28 1층 숙수도가,https://pcmap.place.naver.com/restaurant/1835055904/review/visitor#
89번가 1호점,요리주점,서울 성북구 동소문로20다길 16 지층,https://pcmap.place.naver.com/restaurant/1014133287/review/visitor#
제순식당 성신여대점,"백반,가정식",서울 성북구 동소문로20다길 30-9,https://pcmap.place.naver.com/restaurant/35734676/review/visitor#
한술식당 고대안암점,덮밥,서울 성북구 고려대로24길 15 2층,https://pcmap.place.naver.com/restaurant/1407526464/review/visitor#
태조감자국,감자탕,서울 성북구 보문로34길 43 세학빌딩 1층,https://pcmap.place.naver.com/restaurant/228291519/review/visitor#
동선식당 성신여대점,한식,서울 성북구 보문로30라길 9 1층,https://pcmap.place.naver.com/restaurant/1673880186/review/visitor#
