가게 이름,업종구분,주소,URL
대세는 대게다 시흥동점,킹크랩요리,서울 금천구 시흥대로 182 102호,https://pcmap.place.naver.com/restaurant/1880543446/review/visitor#
피자EPP 구로가산점,피자,서울 금천구 가산로9길 12-8 1동 111호,https://pcmap.place.naver.com/restaurant/1687902130/review/visitor#
순댕이네얼큰수제비,한식,서울 금천구 시흥대로136길 1,https://pcmap.place.naver.com/restaurant/34332311/review/visitor#
팔곱집,"곱창,막창,양",서울 금천구 가산로 49-16 1층,https://pcmap.place.naver.com/restaurant/1526850877/review/visitor#
스튜디오레이크,와인,서울 금천구 디지털로 210 2층,https://pcmap.place.naver.com/restaurant/1285729698/review/visitor#
동남집,갈비탕,서울 금천구 가산디지털1로 149 신한이노플렉스 1층 102호,https://pcmap.place.naver.com/restaurant/37187437/review/visitor#
라복궁 가산본점,중식당,서울 금천구 가산로9길 12-8,https://pcmap.place.naver.com/restaurant/1888098811/review/visitor#
세라즈피자펍,피자,서울 금천구 가산디지털1로 168 A동 2층 222호,https://pcmap.place.naver.com/restaurant/1256338829/review/visitor#
인어나라,생선회,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동,https://pcmap.place.naver.com/restaurant/38508554/review/visitor#
1호집,생선회,서울 금천구 벚꽃로38길 38 1호집,https://pcmap.place.naver.com/restaurant/1507646712/review/visitor#
북촌삼대갈비 가산본점,"육류,고기요리",서울 금천구 가산로 149,https://pcmap.place.naver.com/restaurant/1410066370/review/visitor#
우뺑,베이커리,서울 금천구 벚꽃로56길 182 104호,https://pcmap.place.naver.com/restaurant/1508029268/review/visitor#
태우마 본점,"육류,고기요리",서울 금천구 범안로17길 9 한아마인드아파트 1층 상가,https://pcmap.place.naver.com/restaurant/1029926556/review/visitor#
다운타우너 가산퍼블릭,햄버거,"서울 금천구 디지털로 178 퍼블릭 가산, A동 116호",https://pcmap.place.naver.com/restaurant/1934494721/review/visitor#
도넛 인사이드 도넛 본점,"카페,디저트",서울 금천구 시흥대로141길 81 1층 도넛 인사이드 도넛 본점,https://pcmap.place.naver.com/restaurant/1020784895/review/visitor#
아웃백스테이크하우스 가산점,패밀리레스토랑,서울 금천구 디지털로10길 9 현대시티아울렛 가산점 7층,https://pcmap.place.naver.com/restaurant/34413398/review/visitor#
